time_s	mv
0.614	0.309299
0.615	0.271416
0.616	0.219539
0.617	0.293509
0.618	0.365153
0.619	0.275847
0.62	0.186223
0.621	0.238542
0.622	0.268372
0.623	0.147997
0.624	0.03325
0.625	0.110578
0.626	0.271189
0.627	0.252315
0.628	0.092596
0.629	0.052107
0.63	0.131374
0.631	0.163065
0.632	0.162224
0.633	0.20331
0.634	0.223926
0.635	0.181158
0.636	0.252764
0.637	0.610367
0.638	1.013834
0.639	1.087126
0.64	0.877393
0.641	0.62441
0.642	0.343549
0.643	0.017746
0.644	-0.180499
0.645	-0.088175
0.646	0.181192
0.647	0.386214
0.648	0.533359
0.649	0.72319
0.65	0.785382
0.651	0.559812
0.652	0.225195
0.653	0.024265
0.654	-0.02017
0.655	0.024873
0.656	0.232956
0.657	0.693077
0.658	1.170804
0.659	1.308038
0.66	1.126503
0.661	0.853259
0.662	0.498012
0.663	0.019324
0.664	-0.399784
0.665	-0.52281
0.666	-0.355971
0.667	-0.05199
0.668	0.380907
0.669	0.875304
0.67	1.045972
0.671	0.670567
0.672	0.077976
0.673	-0.287002
0.674	-0.336758
0.675	-0.216908
0.676	0.044078
0.677	0.477192
0.678	0.856525
0.679	0.911002
0.68	0.7457
0.681	0.571949
0.682	0.332963
0.683	-0.04196
0.684	-0.370941
0.685	-0.441848
0.686	-0.320376
0.687	-0.20964
0.688	-0.066999
0.689	0.23205
0.69	0.469087
0.691	0.368678
0.692	0.062782
0.693	-0.148308
0.694	-0.205768
0.695	-0.220864
0.696	-0.191773
0.697	-0.053452
0.698	0.07083
0.699	0.053091
0.7	0.040545
0.701	0.139638
0.702	0.161226
0.703	-0.029736
0.704	-0.255293
0.705	-0.279763
0.706	-0.149145
0.707	-0.070587
0.708	-0.008638
0.709	0.189281
0.71	0.366624
0.711	0.289147
0.712	0.063308
0.713	-0.073206
0.714	-0.09952
0.715	-0.136325
0.716	-0.197832
0.717	-0.224571
0.718	-0.275227
0.719	-0.375591
0.72	-0.343869
0.721	-0.117284
0.722	0.054447
0.723	-0.00742
0.724	-0.137108
0.725	-0.083601
0.726	0.110609
0.727	0.178943
0.728	0.082334
0.729	0.044631
0.73	0.100587
0.731	0.083649
0.732	-0.004234
0.733	-0.034415
0.734	-0.012589
0.735	-0.033137
0.736	-0.08229
0.737	-0.094006
0.738	-0.134061
0.739	-0.240847
0.74	-0.243333
0.741	-0.071268
0.742	0.052255
0.743	-0.028855
0.744	-0.147142
0.745	-0.06526
0.746	0.156354
0.747	0.233611
0.748	0.119424
0.749	0.047754
0.75	0.073421
0.751	0.041848
0.752	-0.049442
0.753	-0.081179
0.754	-0.052258
0.755	-0.028544
0.756	0.030843
0.757	0.169808
0.758	0.226815
0.759	0.077477
0.76	-0.074577
0.761	-0.050187
0.762	-0.003914
0.763	-0.09331
0.764	-0.19157
0.765	-0.115694
0.766	0.026439
0.767	-0.042937
0.768	-0.279707
0.769	-0.363266
0.77	-0.252998
0.771	-0.164423
0.772	-0.140274
0.773	-0.089027
0.774	-0.021179
0.775	0.008716
0.776	0.05464
0.777	0.164803
0.778	0.184315
0.779	0.004796
0.78	-0.15492
0.781	-0.114687
0.782	-0.03922
0.783	-0.09759
0.784	-0.173631
0.785	-0.091229
0.786	0.044291
0.787	-0.029213
0.788	-0.244752
0.789	-0.273121
0.79	-0.101172
0.791	0.003641
0.792	-0.02584
0.793	-0.065547
0.794	-0.073757
0.795	-0.079627
0.796	-0.031794
0.797	0.108192
0.798	0.174439
0.799	0.038873
0.8	-0.104927
0.801	-0.08691
0.802	-0.054899
0.803	-0.15141
0.804	-0.240344
0.805	-0.125184
0.806	0.108237
0.807	0.170391
0.808	0.024926
0.809	-0.071497
0.81	-0.036871
0.811	-0.021444
0.812	-0.062136
0.813	-0.079872
0.814	-0.088491
0.815	-0.165015
0.816	-0.293867
0.817	-0.393651
0.818	-0.464546
0.819	-0.511724
0.82	-0.428269
0.821	-0.209001
0.822	-0.064372
0.823	-0.115323
0.824	-0.19416
0.825	-0.091371
0.826	0.096291
0.827	0.058427
0.828	-0.219096
0.829	-0.380862
0.83	-0.274837
0.831	-0.118294
0.832	-0.064859
0.833	-0.073921
0.834	-0.110243
0.835	-0.156645
0.836	-0.114071
0.837	0.069899
0.838	0.204575
0.839	0.118456
0.84	-0.023316
0.841	-0.044096
0.842	-0.060243
0.843	-0.185728
0.844	-0.276817
0.845	-0.152959
0.846	0.062423
0.847	0.030442
0.848	-0.286778
0.849	-0.521972
0.85	-0.465811
0.851	-0.280883
0.852	-0.128716
0.853	-0.036658
0.854	-0.041967
0.855	-0.18273
0.856	-0.405429
0.857	-0.607289
0.858	-0.751598
0.859	-0.801877
0.86	-0.632158
0.861	-0.253598
0.862	0.043132
0.863	0.030508
0.864	-0.155305
0.865	-0.24057
0.866	-0.225259
0.867	-0.353847
0.868	-0.619756
0.869	-0.676224
0.87	-0.435439
0.871	-0.214902
0.872	-0.180508
0.873	-0.19405
0.874	-0.146022
0.875	-0.064578
0.876	0.008356
0.877	0.026184
0.878	-0.107958
0.879	-0.351696
0.88	-0.431201
0.881	-0.232026
0.882	-0.022389
0.883	-0.054802
0.884	-0.218686
0.885	-0.252055
0.886	-0.147355
0.887	-0.136987
0.888	-0.247062
0.889	-0.23289
0.89	-0.074012
0.891	-0.020864
0.892	-0.126835
0.893	-0.213911
0.894	-0.201846
0.895	-0.179819
0.896	-0.250999
0.897	-0.441327
0.898	-0.697426
0.899	-0.863862
0.9	-0.752237
0.901	-0.393186
0.902	-0.093959
0.903	-0.076887
0.904	-0.203357
0.905	-0.202522
0.906	-0.077808
0.907	-0.085462
0.908	-0.26514
0.909	-0.348001
0.91	-0.25562
0.911	-0.193014
0.912	-0.224661
0.913	-0.226179
0.914	-0.158936
0.915	-0.11755
0.916	-0.196416
0.917	-0.416358
0.918	-0.715087
0.919	-0.920047
0.92	-0.827125
0.921	-0.461471
0.922	-0.133853
0.923	-0.073238
0.924	-0.152769
0.925	-0.124874
0.926	-0.028906
0.927	-0.152897
0.928	-0.50588
0.929	-0.700254
0.93	-0.569432
0.931	-0.371715
0.932	-0.283702
0.933	-0.229742
0.934	-0.14229
0.935	-0.041462
0.936	0.052085
0.937	0.095159
0.938	-0.024136
0.939	-0.290983
0.94	-0.441708
0.941	-0.32335
0.942	-0.145848
0.943	-0.136904
0.944	-0.210644
0.945	-0.163394
0.946	-0.062422
0.947	-0.206123
0.948	-0.59932
0.949	-0.835311
0.95	-0.71644
0.951	-0.479531
0.952	-0.314105
0.953	-0.185534
0.954	-0.072785
0.955	-0.043225
0.956	-0.153322
0.957	-0.391034
0.958	-0.680617
0.959	-0.87188
0.96	-0.791652
0.961	-0.459077
0.962	-0.150565
0.963	-0.079051
0.964	-0.136488
0.965	-0.104095
0.966	-0.034439
0.967	-0.204946
0.968	-0.595685
0.969	-0.786832
0.97	-0.599531
0.971	-0.321769
0.972	-0.180154
0.973	-0.120561
0.974	-0.070654
0.975	-0.05667
0.976	-0.112349
0.977	-0.241734
0.978	-0.446038
0.979	-0.642799
0.98	-0.637684
0.981	-0.386774
0.982	-0.133445
0.983	-0.088116
0.984	-0.147557
0.985	-0.09133
0.986	0.026738
0.987	-0.116776
0.988	-0.576604
0.989	-0.905046
0.99	-0.788526
0.991	-0.460478
0.992	-0.216378
0.993	-0.078623
0.994	-0.011543
0.995	-0.053217
0.996	-0.230719
0.997	-0.497701
0.998	-0.757328
0.999	-0.879341
1.0	-0.739859
1.001	-0.388796
1.002	-0.094886
1.003	-0.050833
1.004	-0.131493
1.005	-0.090871
1.006	0.054479
1.007	0.014978
1.008	-0.289309
1.009	-0.518866
1.01	-0.44513
1.011	-0.256741
1.012	-0.147619
1.013	-0.095375
1.014	-0.061758
1.015	-0.062646
1.016	-0.081383
1.017	-0.097072
1.018	-0.1724
1.019	-0.312614
1.02	-0.338876
1.021	-0.172086
1.022	-0.0233
1.023	-0.074476
1.024	-0.200036
1.025	-0.164164
1.026	0.004972
1.027	0.010192
1.028	-0.238946
1.029	-0.42262
1.03	-0.336207
1.031	-0.177806
1.032	-0.126053
1.033	-0.132879
1.034	-0.136953
1.035	-0.126863
1.036	-0.052135
1.037	0.103421
1.038	0.185175
1.039	0.077541
1.04	-0.050909
1.041	-0.041519
1.042	-0.026905
1.043	-0.153769
1.044	-0.297978
1.045	-0.243597
1.046	-0.043741
1.047	-0.020171
1.048	-0.278311
1.049	-0.489809
1.05	-0.421123
1.051	-0.250721
1.052	-0.169056
1.053	-0.154606
1.054	-0.158246
1.055	-0.155231
1.056	-0.058328
1.057	0.187496
1.058	0.4126
1.059	0.401226
1.06	0.233208
1.061	0.103836
1.062	-0.014943
1.063	-0.212439
1.064	-0.365914
1.065	-0.276085
1.066	0.003554
1.067	0.166817
1.068	0.085424
1.069	-0.020876
1.07	-0.024506
1.071	-0.081031
1.072	-0.251876
1.073	-0.375534
1.074	-0.334762
1.075	-0.172121
1.076	0.033588
1.077	0.213062
1.078	0.231554
1.079	0.033665
1.08	-0.155076
1.081	-0.116703
1.082	-0.00205
1.083	-0.070656
1.084	-0.276745
1.085	-0.377077
1.086	-0.327729
1.087	-0.340117
1.088	-0.465109
1.089	-0.449393
1.09	-0.23823
1.091	-0.125681
1.092	-0.223913
1.093	-0.321591
1.094	-0.268879
1.095	-0.114333
1.096	0.06555
1.097	0.220947
1.098	0.233892
1.099	0.041745
1.1	-0.151515
1.101	-0.131271
1.102	-0.027861
1.103	-0.081526
