time_s,mv
0.635,-0.000919
0.636,0.000135
0.637,0.000797
0.638,0.00016
0.639,-0.001925
0.64,-0.004779
0.641,-0.007472
0.642,-0.009525
0.643,-0.011145
0.644,-0.01293
0.645,-0.015297
0.646,-0.018069
0.647,-0.020608
0.648,-0.02238
0.649,-0.023373
0.65,-0.024046
0.651,-0.02491
0.652,-0.026064
0.653,-0.027063
0.654,-0.027279
0.655,-0.026452
0.656,-0.024947
0.657,-0.023573
0.658,-0.023098
0.659,-0.023754
0.66,-0.025081
0.661,-0.026223
0.662,-0.02653
0.663,-0.026058
0.664,-0.02555
0.665,-0.02579
0.666,-0.026897
0.667,-0.028242
0.668,-0.029025
0.669,-0.028892
0.67,-0.028094
0.671,-0.027219
0.672,-0.026789
0.673,-0.027081
0.674,-0.028355
0.675,-0.031022
0.676,-0.035302
0.677,-0.040593
0.678,-0.045136
0.679,-0.046541
0.68,-0.043288
0.681,-0.03613
0.682,-0.027953
0.683,-0.022081
0.684,-0.020374
0.685,-0.022492
0.686,-0.02662
0.687,-0.03076
0.688,-0.03361
0.689,-0.034765
0.69,-0.034531
0.691,-0.033677
0.692,-0.033062
0.693,-0.033111
0.694,-0.033516
0.695,-0.03357
0.696,-0.032946
0.697,-0.03213
0.698,-0.032044
0.699,-0.033179
0.7,-0.035137
0.701,-0.036996
0.702,-0.038088
0.703,-0.03852
0.704,-0.039066
0.705,-0.040499
0.706,-0.042847
0.707,-0.045215
0.708,-0.04638
0.709,-0.045764
0.71,-0.043934
0.711,-0.042191
0.712,-0.041658
0.713,-0.042622
0.714,-0.044498
0.715,-0.046203
0.716,-0.046536
0.717,-0.044215
0.718,-0.037748
0.719,-0.026032
0.72,-0.009991
0.721,0.006677
0.722,0.019941
0.723,0.029304
0.724,0.03831
0.725,0.050474
0.726,0.064651
0.727,0.074006
0.728,0.069984
0.729,0.049013
0.73,0.016251
0.731,-0.017266
0.732,-0.041279
0.733,-0.051203
0.734,-0.048611
0.735,-0.038489
0.736,-0.026041
0.737,-0.014989
0.738,-0.007339
0.739,-0.003611
0.74,-0.002977
0.741,-0.003721
0.742,-0.004259
0.743,-0.004079
0.744,-0.003802
0.745,-0.00437
0.746,-0.006082
0.747,-0.008198
0.748,-0.009357
0.749,-0.008571
0.75,-0.006041
0.751,-0.003071
0.752,-0.001176
0.753,-0.001195
0.754,-0.002943
0.755,-0.005471
0.756,-0.007732
0.757,-0.009347
0.758,-0.010866
0.759,-0.013147
0.76,-0.016342
0.761,-0.019622
0.762,-0.021943
0.763,-0.023016
0.764,-0.023492
0.765,-0.024309
0.766,-0.025895
0.767,-0.027846
0.768,-0.02927
0.769,-0.029511
0.77,-0.028611
0.771,-0.027187
0.772,-0.025995
0.773,-0.025525
0.774,-0.025749
0.775,-0.026121
0.776,-0.025975
0.777,-0.025182
0.778,-0.024469
0.779,-0.024878
0.78,-0.02676
0.781,-0.029365
0.782,-0.031498
0.783,-0.032511
0.784,-0.032679
0.785,-0.032709
0.786,-0.03302
0.787,-0.033533
0.788,-0.034163
0.789,-0.03534
0.79,-0.03782
0.791,-0.041741
0.792,-0.045684
0.793,-0.047022
0.794,-0.043805
0.795,-0.036486
0.796,-0.027815
0.797,-0.021114
0.798,-0.018453
0.799,-0.019933
0.8,-0.024146
0.801,-0.029102
0.802,-0.03303
0.803,-0.03502
0.804,-0.035339
0.805,-0.035122
0.806,-0.035523
0.807,-0.036901
0.808,-0.038612
0.809,-0.039568
0.81,-0.039112
0.811,-0.037542
0.812,-0.035914
0.813,-0.035221
0.814,-0.035603
0.815,-0.036286
0.816,-0.036326
0.817,-0.035481
0.818,-0.034482
0.819,-0.034495
0.82,-0.036094
0.821,-0.038599
0.822,-0.040528
0.823,-0.040801
0.824,-0.039644
0.825,-0.038467
0.826,-0.038726
