animal_id,time_ms,voltage_mv
125,149.0,-0.024581
125,150.0,-0.020632
125,151.0,-0.019572
125,152.0,-0.021033
125,153.0,-0.022838
125,154.0,-0.022856
125,155.0,-0.020663
125,156.0,-0.017678
125,157.0,-0.015769
125,158.0,-0.015653
125,159.0,-0.01646
125,160.0,-0.016642
125,161.0,-0.015343
125,162.0,-0.013123
125,163.0,-0.011524
125,164.0,-0.011806
125,165.0,-0.013741
125,166.0,-0.015508
125,167.0,-0.014998
125,168.0,-0.011536
125,169.0,-0.006562
125,170.0,-0.002676
125,171.0,-0.001744
125,172.0,-0.003581
125,173.0,-0.006282
125,174.0,-0.007763
125,175.0,-0.007215
125,176.0,-0.005443
125,177.0,-0.004024
125,178.0,-0.004011
125,179.0,-0.005169
125,180.0,-0.006309
125,181.0,-0.006354
125,182.0,-0.005258
125,183.0,-0.004088
125,184.0,-0.004205
125,185.0,-0.006048
125,186.0,-0.008529
125,187.0,-0.009724
125,188.0,-0.008383
125,189.0,-0.005021
125,190.0,-0.001678
125,191.0,-0.000433
125,192.0,-0.001831
125,193.0,-0.004514
125,194.0,-0.006379
125,195.0,-0.00624
125,196.0,-0.004645
125,197.0,-0.00325
125,198.0,-0.003333
125,199.0,-0.004762
157,-100.0,0.148108
157,-99.0,0.097656
157,-98.0,0.078583
157,-97.0,0.086018
157,-96.0,0.101845
157,-95.0,0.110019
157,-94.0,0.104329
157,-93.0,0.087179
157,-92.0,0.06458
157,-91.0,0.042097
157,-90.0,0.023133
157,-89.0,0.008747
157,-88.0,-0.001958
157,-87.0,-0.010995
157,-86.0,-0.020237
157,-85.0,-0.03021
157,-84.0,-0.039636
157,-83.0,-0.046106
157,-82.0,-0.047572
157,-81.0,-0.043739
157,-80.0,-0.036386
157,-79.0,-0.028374
157,-78.0,-0.022068
157,-77.0,-0.018286
157,-76.0,-0.016386
157,-75.0,-0.015198
157,-74.0,-0.014012
157,-73.0,-0.012968
157,-72.0,-0.012705
157,-71.0,-0.013699
157,-70.0,-0.015899
157,-69.0,-0.018939
157,-68.0,-0.022618
157,-67.0,-0.027124
157,-66.0,-0.032754
157,-65.0,-0.039393
157,-64.0,-0.046122
157,-63.0,-0.051327
157,-62.0,-0.05339
157,-61.0,-0.051605
157,-60.0,-0.046643
157,-59.0,-0.040212
157,-58.0,-0.034158
157,-57.0,-0.029636
157,-56.0,-0.026822
157,-55.0,-0.025232
157,-54.0,-0.024292
157,-53.0,-0.023737
157,-52.0,-0.023668
157,-51.0,-0.024308
157,-50.0,-0.025657
157,-49.0,-0.027219
157,-48.0,-0.027988
157,-47.0,-0.026896
157,-46.0,-0.023684
157,-45.0,-0.019406
157,-44.0,-0.015553
157,-43.0,-0.012315
157,-42.0,-0.008029
157,-41.0,-0.000719
157,-40.0,0.009709
157,-39.0,0.020446
157,-38.0,0.026666
157,-37.0,0.024034
157,-36.0,0.011619
157,-35.0,-0.00702
157,-34.0,-0.025787
157,-33.0,-0.03957
157,-32.0,-0.046524
157,-31.0,-0.047869
157,-30.0,-0.046133
157,-29.0,-0.043489
157,-28.0,-0.041133
157,-27.0,-0.039544
157,-26.0,-0.03906
157,-25.0,-0.040146
157,-24.0,-0.043105
157,-23.0,-0.047469
157,-22.0,-0.051716
157,-21.0,-0.053783
157,-20.0,-0.052156
157,-19.0,-0.046816
157,-18.0,-0.039319
157,-17.0,-0.031969
157,-16.0,-0.026582
157,-15.0,-0.02363
157,-14.0,-0.022263
157,-13.0,-0.021178
157,-12.0,-0.019692
157,-11.0,-0.01826
157,-10.0,-0.018088
157,-9.0,-0.020125
157,-8.0,-0.023919
157,-7.0,-0.0267
157,-6.0,-0.022999
157,-5.0,-0.005264
157,-4.0,0.033776
157,-3.0,0.096272
157,-2.0,0.172667
157,-1.0,0.238623
157,0.0,0.264384
157,1.0,0.236485
157,2.0,0.172715
157,3.0,0.110765
157,4.0,0.079442
157,5.0,0.081171
157,6.0,0.098488
157,7.0,0.111712
157,8.0,0.110768
157,9.0,0.096155
157,10.0,0.073847
157,11.0,0.050224
157,12.0,0.029572
157,13.0,0.013615
157,14.0,0.00189
157,15.0,-0.007482
157,16.0,-0.016628
157,17.0,-0.026614
157,18.0,-0.036664
157,19.0,-0.044475
157,20.0,-0.047586
157,21.0,-0.045018
157,22.0,-0.03807
157,23.0,-0.029648
157,24.0,-0.022582
157,25.0,-0.01818
157,26.0,-0.015986
157,27.0,-0.014678
157,28.0,-0.013288
157,29.0,-0.011858
157,30.0,-0.011149
157,31.0,-0.011831
157,32.0,-0.013933
157,33.0,-0.016988
157,34.0,-0.020598
157,35.0,-0.024837
157,36.0,-0.030134
157,37.0,-0.036687
157,38.0,-0.043859
157,39.0,-0.050045
157,40.0,-0.053291
157,41.0,-0.052397
157,42.0,-0.047748
157,43.0,-0.041153
157,44.0,-0.034783
157,45.0,-0.030026
157,46.0,-0.02707
157,47.0,-0.025298
157,48.0,-0.024031
157,49.0,-0.023035
157,50.0,-0.022524
157,51.0,-0.022807
157,52.0,-0.023947
157,53.0,-0.025565
157,54.0,-0.026807
157,55.0,-0.026623
157,56.0,-0.024466
157,57.0,-0.020901
157,58.0,-0.017203
157,59.0,-0.013919
157,60.0,-0.009931
157,61.0,-0.00336
157,62.0,0.00637
157,63.0,0.017203
157,64.0,0.024926
157,65.0,0.025193
157,66.0,0.016128
157,67.0,-0.000174
157,68.0,-0.018596
157,69.0,-0.033869
157,70.0,-0.043146
157,71.0,-0.046581
157,72.0,-0.046149
157,73.0,-0.044043
157,74.0,-0.041751
157,75.0,-0.040043
157,76.0,-0.039401
157,77.0,-0.040279
157,78.0,-0.04294
157,79.0,-0.046988
157,80.0,-0.05111
157,81.0,-0.053449
157,82.0,-0.052528
157,83.0,-0.048095
157,84.0,-0.041301
157,85.0,-0.034115
157,86.0,-0.028316
157,87.0,-0.024646
157,88.0,-0.022643
157,89.0,-0.021257
157,90.0,-0.019745
157,91.0,-0.018245
157,92.0,-0.017671
157,93.0,-0.018976
157,94.0,-0.022146
157,95.0,-0.025285
157,96.0,-0.024052
157,97.0,-0.011803
157,98.0,0.018828
157,99.0,0.072003
157,100.0,0.142622
157,101.0,0.211984
157,102.0,0.252731
157,103.0,0.245804
157,104.0,0.197296
157,105.0,0.136616
157,106.0,0.094815
157,107.0,0.083739
157,108.0,0.093806
157,109.0,0.107038
157,110.0,0.110449
157,111.0,0.100752
157,112.0,0.081614
157,113.0,0.058877
157,114.0,0.037359
157,115.0,0.019686
157,116.0,0.006251
157,117.0,-0.004231
157,118.0,-0.01369
157,119.0,-0.023457
157,120.0,-0.033345
157,121.0,-0.041637
157,122.0,-0.046078
157,123.0,-0.045332
157,124.0,-0.039963
157,125.0,-0.032231
157,126.0,-0.024829
157,127.0,-0.019483
157,128.0,-0.016358
157,129.0,-0.014518
157,130.0,-0.012972
157,131.0,-0.011476
157,132.0,-0.010565
157,133.0,-0.010906
