animal_id,time_s,mv
117,1.019,0.432549
117,1.02,0.169252
117,1.021,-0.05097
117,1.022,-0.204003
117,1.023,-0.283822
117,1.024,-0.336343
117,1.025,-0.49484
117,1.026,-0.948043
117,1.027,-1.794239
117,1.028,-2.895959
117,1.029,-3.923474
117,1.03,-4.569204
117,1.031,-4.718481
117,1.032,-4.452765
117,1.033,-3.94788
117,1.034,-3.377928
117,1.035,-2.869193
117,1.036,-2.484531
117,1.037,-2.220102
117,1.038,-2.023691
117,1.039,-1.835415
117,1.04,-1.625837
117,1.041,-1.407137
117,1.042,-1.215983
117,1.043,-1.084822
117,1.044,-1.020327
117,1.045,-1.000074
117,1.046,-0.987153
117,1.047,-0.951309
117,1.048,-0.882893
117,1.049,-0.793262
117,1.05,-0.704174
117,1.051,-0.633625
117,1.052,-0.585731
117,1.053,-0.549451
117,1.054,-0.506218
117,1.055,-0.440658
117,1.056,-0.346841
117,1.057,-0.228072
117,1.058,-0.094152
117,1.059,0.040654
117,1.06,0.159298
117,1.061,0.244614
117,1.062,0.283562
117,1.063,0.272552
117,1.064,0.221237
117,1.065,0.151144
117,1.066,0.088239
117,1.067,0.052165
117,1.068,0.047367
117,1.069,0.062042
117,1.07,0.076811
117,1.071,0.077306
117,1.072,0.062261
117,1.073,0.043186
117,1.074,0.03713
117,1.075,0.057574
117,1.076,0.108842
117,1.077,0.185959
117,1.078,0.277893
117,1.079,0.370966
117,1.08,0.45079
117,1.081,0.503508
117,1.082,0.518385
117,1.083,0.492285
117,1.084,0.433052
117,1.085,0.357945
117,1.086,0.287146
117,1.087,0.236045
117,1.088,0.210119
117,1.089,0.204176
117,1.09,0.206009
117,1.091,0.203514
117,1.092,0.192197
117,1.093,0.178057
117,1.094,0.173544
117,1.095,0.189754
117,1.096,0.230435
117,1.097,0.291101
117,1.098,0.362434
117,1.099,0.433991
117,1.1,0.494916
117,1.101,0.533419
117,1.102,0.539571
117,1.103,0.511023
117,1.104,0.456272
117,1.105,0.39219
117,1.106,0.337109
117,1.107,0.303217
117,1.108,0.291827
117,1.109,0.293733
117,1.11,0.294702
117,1.111,0.283518
117,1.112,0.25848
117,1.113,0.22891
117,1.114,0.210261
117,1.115,0.215299
117,1.116,0.247568
117,1.117,0.301454
117,1.118,0.366854
117,1.119,0.432899
117,1.12,0.488344
117,1.121,0.522152
117,1.122,0.52721
117,1.123,0.503627
117,1.124,0.458115
117,1.125,0.401511
117,1.126,0.346407
117,1.127,0.30397
117,1.128,0.279762
117,1.129,0.270627
117,1.13,0.265858
117,1.131,0.254178
117,1.132,0.23277
117,1.133,0.210909
117,1.134,0.204563
117,1.135,0.226091
117,1.136,0.27658
117,1.137,0.345781
117,1.138,0.418931
117,1.139,0.483933
117,1.14,0.532843
117,1.141,0.559584
117,1.142,0.559914
117,1.143,0.534364
117,1.144,0.48965
117,1.145,0.435708
117,1.146,0.380885
117,1.147,0.33025
117,1.148,0.288679
117,1.149,0.264672
117,1.15,0.269659
117,1.151,0.312642
117,1.152,0.393353
117,1.153,0.496275
117,1.154,0.590534
117,1.155,0.642648
117,1.156,0.637576
117,1.157,0.589523
117,1.158,0.531115
117,1.159,0.491114
117,1.16,0.479032
117,1.161,0.484863
117,1.162,0.489882
117,1.163,0.479156
117,1.164,0.448345
117,1.165,0.403229
117,1.166,0.35497
117,1.167,0.314486
117,1.168,0.287795
117,1.169,0.273719
117,1.17,0.265515
117,1.171,0.256463
117,1.172,0.245657
117,1.173,0.239214
117,1.174,0.246265
117,1.175,0.273507
117,1.176,0.321792
117,1.177,0.385509
117,1.178,0.454309
117,1.179,0.516236
117,1.18,0.560821
117,1.181,0.581383
117,1.182,0.576465
117,1.183,0.549821
117,1.184,0.508758
117,1.185,0.46193
117,1.186,0.417441
117,1.187,0.381359
117,1.188,0.356684
117,1.189,0.343001
117,1.19,0.337361
117,1.191,0.336568
117,1.192,0.339731
117,1.193,0.349251
117,1.194,0.369469
117,1.195,0.403639
117,1.196,0.450997
117,1.197,0.506142
117,1.198,0.561316
117,1.199,0.609303
117,1.2,0.644395
117,1.201,0.661973
117,1.202,0.659065
117,1.203,0.63602
117,1.204,0.597263
117,1.205,0.5503
117,1.206,0.503678
117,1.207,0.464685
117,1.208,0.437283
117,1.209,0.421117
117,1.21,0.412671
117,1.211,0.408204
117,1.212,0.406462
117,1.213,0.40965
117,1.214,0.422399
117,1.215,0.448926
117,1.216,0.489897
117,1.217,0.541246
117,1.218,0.595283
117,1.219,0.642688
117,1.22,0.674743
117,1.221,0.685825
117,1.222,0.675302
117,1.223,0.647314
117,1.224,0.608659
117,1.225,0.566909
117,1.226,0.529456
117,1.227,0.50197
117,1.228,0.485986
117,1.229,0.477887
117,1.23,0.471408
117,1.231,0.462365
