animal_id,recording_date,source_file,window_source,window_start,window_end,rule_used,start_annotation,end_annotation,n_beats,heart_rate_bpm,rr_mean_ms,rr_std_ms,r_amplitude_mv,qrs_duration_ms,j_wave_amplitude_mv,t_wave_amplitude_mv,rt_interval_ms,qt_ms,qtc_ms,qt_std_ms,qrs_std_ms,r_amplitude_std_mv,rr_cv,annotated_window_HR,annotated_window_rr_std,overrode_inrange_annotation,status,reason
228,2024-12-17,2024_12_17_228.txt,annotated,13349,33449,A_same_*,#* ecg baseline,#* ecg baseline end,192,574.4,104.46,0.86,0.4805,6.0,-0.0022,0.0272,64.0,67.45,65.99,6.5168532119041025,0.41605217846404596,0.025986978363805327,0.0082,574.4072978798055,0.856466817339491,False,OK,passed gate
229,2024-12-17,2024_12_17_229.txt,annotated,21199,44499,A_same_*,#* ecg baseline,#* ecg baseline end,219,566.9,105.83,2.75,0.2827,6.0,0.0542,0.0328,71.0,75.0,72.9,2.34468269619,0.5181465517795234,0.020505705811934782,0.026,566.9455160157773,2.749713167685837,False,OK,passed gate
230,2024-12-17,2024_12_17_230.txt,annotated,10899,26849,A_same_*,#* ecg baseline,#* ecg baseline end,142,532.9,112.58,0.89,0.3881,6.0,0.0649,0.0176,74.0,77.12,72.69,1.1258518942333984,0.4695947580462175,0.010076904416196047,0.0079,532.946957288648,0.8876616824057169,False,OK,passed gate
231,2024-12-18,2024_12_18_231.txt,annotated,222099,258099,A_same_*,#* ecg baseline,#* ecg baseline end,322,536.7,111.79,0.85,0.2339,4.0,0.0311,0.0528,48.0,53.14,50.26,1.6522099834749444,0.47672102013072887,0.011661435328904143,0.0076,536.729461598484,0.8507258216817052,False,OK,passed gate
232,2024-12-18,2024_12_18_232.txt,annotated,18849,42999,A_same_*,#* ecg baseline,#* ecg baseline end,132,336.6,178.24,166.98,0.1072,6.0,0.0399,0.029,51.0,97.24,72.84,3.774190437372886,8.007756331329501,0.031572570867095896,0.9369,336.63111910574327,166.98216542544384,False,NEEDS_REVIEW,
233,2024-12-18,2024_12_18_233.txt,annotated,68049,91799,A_same_*,#* ecg baseline,#* ecg baseline end,229,578.2,103.77,0.7,0.2183,5.0,0.117,0.0255,60.0,64.18,63.01,1.4959538461411845,0.4113795914937107,0.01812681802656654,0.0068,578.2154782535188,0.7045472960284388,False,OK,passed gate
234,2024-12-18,2024_12_18_234.txt,annotated,70349,90399,A_same_*,#* ecg baseline,#* ecg baseline end,192,573.2,104.68,27.65,0.2393,5.0,0.1185,0.021,56.0,99.42,97.17,0.5835920751217648,0.6537933027837098,0.030073223546736326,0.2641,573.1719515854757,27.64830996306506,False,OK,passed gate
235,2024-12-18,2024_12_18_235.txt,annotated,86599,107099,A_same_*,#* ecg baseline,#* ecg baseline end,183,533.7,112.42,10.56,0.1066,8.0,0.0181,-0.0011,71.0,38.55,36.36,8.629093681492579,0.8612637777405483,0.02607134746833761,0.0939,533.7243401759531,10.555892736811527,False,OK,passed gate
236,2024-12-18,2024_12_18_236.txt,annotated,33849,53849,A_same_*,#* ecg baseline,#* ecg baseline end,190,573.2,104.68,4.89,0.1289,6.0,0.0427,0.0051,57.0,80.33,78.51,13.710937501226327,0.9171462624299254,0.015731385998730436,0.0467,573.1614859742228,4.892978241203986,False,OK,passed gate
237,2024-12-18,2024_12_18_237.txt,annotated,30649,54449,A_same_*,#* ecg baseline,#* ecg baseline end,220,552.8,108.53,0.76,0.3128,6.0,0.0382,0.0431,65.0,68.47,65.72,1.6087989084742198,0.2813391767556357,0.018242081574151803,0.007,552.8441602154157,0.7558854022943562,False,OK,passed gate
238,2024-12-18,2024_12_18_238.txt,annotated,35149,62899,A_same_*,#* ecg baseline,#* ecg baseline end,244,528.1,113.6,0.86,0.2922,6.0,0.0595,0.0286,69.0,72.04,67.59,2.985023523062044,0.47961783078353165,0.013825883971735444,0.0076,528.1460552053901,0.8578130806287735,False,OK,passed gate
239,2024-12-18,2024_12_18_239.txt,annotated,194799,238249,A_same_*,#* ecg baseline,#* ecg baseline end,394,544.0,110.29,5.59,0.373,6.0,0.0212,0.031,64.0,67.72,64.48,5.304983466012666,0.31107738979164745,0.02845962793731238,0.0507,544.0324850610249,5.59302337507303,False,OK,passed gate
240,2024-12-18,2024_12_18_240.txt,annotated,32349,51649,A_same_*,#* ecg baseline,#* ecg baseline end,174,544.2,110.26,25.8,0.1935,6.0,0.0464,0.0237,61.0,65.54,62.41,7.104942499192606,0.6648775113670609,0.023730469446377776,0.234,544.167758846658,25.798559406067962,False,OK,passed gate
241,2024-12-19,2024_12_19_241.txt,annotated,24499,42499,A_same_*,#* ecg baseline,#* ecg baseline end,156,519.7,115.45,3.3,0.2839,6.0,0.0431,0.0497,78.0,81.67,76.01,1.8879181803575114,0.35856515648934495,0.019651380085436872,0.0286,519.7272828881189,3.2972675335953894,False,OK,passed gate
242,2024-12-19,2024_12_19_242.txt,annotated,41099,60849,A_same_*,#* ecg baseline,#* ecg baseline end,175,531.2,112.94,3.29,0.2832,6.0,0.0347,0.0415,71.0,76.18,71.68,1.6148458485299593,0.37006878332651194,0.01774583862414415,0.0291,531.2436393242418,3.2889948631994166,False,OK,passed gate
243,2024-12-19,2024_12_19_243.txt,annotated,12499,35899,A_same_*,#* ecg baseline,#* ecg baseline end,192,491.7,122.02,1.27,0.3198,6.0,0.0758,0.0289,77.0,81.7,73.96,3.0794086402940737,0.5003201425658247,0.014820664910084902,0.0104,491.7188706770788,1.268891414968806,False,OK,passed gate
244,2024-12-19,2024_12_19_244.txt,annotated,64199,94899,A_same_*,#* ecg baseline,#* ecg baseline end,286,559.1,107.32,6.38,0.2834,6.0,0.0074,0.0302,64.0,68.32,65.95,8.66197725150921,2.8527979561771852,0.033479043554121374,0.0594,559.0610390034982,6.377861620752814,False,OK,passed gate
245,2024-12-19,2024_12_19_245.txt,annotated,62749,92749,D_single_30s,#* ecg baseline,,230,459.5,130.59,25.16,0.3068,6.0,0.0545,-0.0036,75.0,77.72,68.01,18.120595241242917,1.0165869310312494,0.2140949266861554,0.1927,459.47030497592294,25.16363896504995,False,OK,passed gate
246,2024-12-19,2024_12_19_246.txt,annotated,16749,56499,A_same_*,#* ecg baseline,#* ecg baseline end,310,468.7,128.01,3.81,0.3643,6.0,0.0504,-0.0109,45.0,87.63,77.46,15.912125151700444,0.2544935132023877,0.018216145736289036,0.0298,468.72629822521105,3.812141852462902,False,OK,passed gate
247,2024-12-19,2024_12_19_247.txt,annotated,25449,45449,A_same_2,#2 ecg baseline,#2 ecg baseline end,184,550.8,108.93,1.1,0.4048,6.0,0.0679,0.0318,72.0,73.52,70.44,8.219302375782732,0.499170582785316,0.01762231215141135,0.0101,550.8176984047357,1.0996415568146962,False,OK,passed gate
248,2024-12-19,2024_12_19_248.txt,annotated,30299,49199,A_same_*,#* ecg baseline,#* ecg baseline end,161,509.9,117.66,1.0,0.4736,6.0,0.0783,0.0564,73.0,76.64,70.65,1.015209547788782,0.35286311735234177,0.014227702013401896,0.0085,509.933071284394,0.9961403502942126,False,OK,passed gate
249,2024-12-19,2024_12_19_249.txt,annotated,49999,70449,A_same_*,#* ecg baseline,#* ecg baseline end,173,507.1,118.32,1.43,0.1956,5.0,0.0189,0.0047,73.0,87.68,80.6,3.857832946552835,0.41314967718797635,0.011987931690932851,0.0121,507.10038818731266,1.433543009342769,False,OK,passed gate
250,2024-12-19,2024_12_19_250.txt,annotated,23099,43399,A_same_*,#* ecg baseline,#* ecg baseline end,175,516.9,116.07,6.31,0.1809,5.0,0.0218,0.0288,74.0,77.75,72.17,6.848152565814949,0.4475441192492122,0.01677439730489487,0.0544,516.9084517502599,6.3135915118275365,False,OK,passed gate
251,2024-12-20,2024_12_20_251.txt,annotated,13599,32099,A_same_*,#* ecg baseline,#* ecg baseline end,162,522.6,114.81,4.16,0.2423,4.0,0.0114,0.0436,64.0,70.52,65.82,3.693334613835149,0.3411627280431021,0.012082400777595922,0.0363,522.6141527807833,4.163105103090587,False,OK,passed gate
252,2024-12-20,2024_12_20_252.txt,annotated,48299,67949,A_same_*,#* ecg baseline,#* ecg baseline end,184,560.3,107.09,22.08,0.1501,6.0,0.092,0.0171,55.0,62.06,59.97,10.013860586514765,0.9361113615787691,0.016198394180599086,0.2062,560.2612511480763,22.079952217288255,False,OK,passed gate
253,2024-12-20,2024_12_20_253.txt,annotated,50049,71299,A_same_*,#* ecg baseline,#* ecg baseline end,185,524.8,114.33,0.68,0.2828,6.0,0.0572,0.0251,45.0,50.15,46.9,5.0247187724427285,0.46599755173483026,0.025622374485212013,0.006,524.7896563198175,0.6806344433148143,False,OK,passed gate
254,2024-12-20,2024_12_20_254.txt,annotated,96799,117449,A_same_*,#* ecg baseline,#* ecg baseline end,174,504.9,118.83,1.08,0.3446,6.0,0.0686,0.0305,69.0,73.52,67.44,6.008721180843763,0.46545275466997227,0.015725825077756425,0.0091,504.9129292732756,1.0840780251774644,False,OK,passed gate
255,2024-12-20,2024_12_20_255.txt,annotated,14299,42149,A_same_*,#* ecg baseline,#* ecg baseline end,253,544.7,110.15,7.36,0.2157,6.0,0.0622,0.0193,68.0,73.88,70.39,4.389500262058005,0.4470519228084664,0.022071825291810936,0.0668,544.7078319763672,7.3550453835921745,False,OK,passed gate
256,2024-12-20,2024_12_20_256.txt,annotated,20499,37049,A_same_*,#* ecg baseline,#* ecg baseline end,136,494.0,121.45,1.39,0.3309,6.0,0.0671,0.0258,75.0,77.5,70.33,6.413834923192563,0.43245352071828563,0.024264007101305267,0.0114,494.02293242254206,1.3860634610965126,False,OK,passed gate
257,2024-12-20,2024_12_20_257.txt,annotated,59349,78399,A_same_*,#* ecg baseline,#* ecg baseline end,178,560.7,107.02,0.75,0.3912,6.0,0.109,0.0152,59.0,63.82,61.69,5.073824456449026,0.2913805027838984,0.02461903398685831,0.007,560.6588533417802,0.7498073712566149,False,OK,passed gate
258,2024-12-20,2024_12_20_258.txt,annotated,15899,42449,A_same_*,#* ecg baseline,#* ecg baseline end,236,533.2,112.52,5.28,0.2954,5.0,0.0671,0.057,65.0,69.2,65.24,1.458633720369352,0.46428909026724224,0.01938763678817577,0.047,533.2224029043604,5.284480291501129,False,OK,passed gate
259,2024-12-20,2024_12_20_259.txt,annotated,24249,47249,A_same_*,#* ecg baseline,#* ecg baseline end,192,499.0,120.25,26.05,0.1776,6.0,0.0778,0.0174,71.0,72.94,66.52,9.32418246533192,0.5273665722434034,0.01743724821381554,0.2166,498.9767927896547,26.049086715476008,False,OK,passed gate
260,2024-12-20,2024_12_20_260.txt,annotated,125749,143699,A_same_1,#1 ecg baseline,#1 ecg baseline end,164,551.4,108.81,0.59,0.3031,6.0,0.0705,0.02,45.0,52.99,50.8,3.8337719815168954,0.3524536884251207,0.0329333334525144,0.0055,551.4208389715833,0.5937134367093124,False,OK,passed gate
