animal_id,file,status,beats,HR_bpm,base_start,base_end,duration_s,rule_used,ecg_column,inverted,start_annotation,end_annotation
146,2024_11_19_146.txt,OK,145,405.6528475515282,69549,90999,21.45,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
147,2024_11_19_147.txt,OK,127,530.377437912165,162749,177249,14.5,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
148,2024_11_19_148.txt,OK,209,422.0065600378724,40149,69949,29.8,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
149,2024_11_19_149.txt,OK,158,384.80392156862746,64299,88899,24.6,A_same_*,1,False,#* baseline ecg,#* baseline ecg end
150,2024_11_19_150.txt,OK,163,476.54066774525666,21549,42049,20.5,A_same_*,1,False,#* baseline ecg,#* baseline ecg end
151,2024_11_26_151.txt,OK,125,343.585480742588,64149,86499,22.35,A_same_*,1,False,#* baseline,#* baseline end
152,2024_11_26_152.txt,OK,149,570.2543025944002,20749,36399,15.65,A_same_*,1,False,#* baseline,#* baseline end
153,2024_11_26_153.txt,OK,305,489.9406376749308,30749,68049,37.3,A_same_*,1,False,#* baseline,#* baseline end
154,2024_11_26_154.txt,OK,191,562.2965374371116,19199,39599,20.4,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
155,2024_11_26_155.txt,OK,149,537.0751179387928,21399,37999,16.6,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
156,2024_11_26_156.txt,OK,178,459.780067538315,104799,128049,23.25,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
157,2024_11_26_157.txt,OK,152,582.4119310876832,86899,102649,15.75,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
158,2024_11_26_158.txt,OK,234,520.5734500093092,23649,50699,27.05,A_same_*,1,False,#* baseline,#* baseline end
159,2024_11_26_159.txt,OK,229,506.68543279380714,28299,55349,27.05,A_same_*,1,False,#* baseline,#* baseline end
160,2024_11_26_160.txt,OK,428,542.1419049029773,16499,63799,47.3,A_same_*,1,False,#* baseline,#* baseline end
201,2024_12_14_201.txt,OK,208,499.2964824120603,94599,119599,25.0,A_same_*,2,False,#* ecg baseline,#* ecg baseline end
202,2024_12_14_202.txt,OK,214,541.8468583057746,37599,61299,23.7,A_same_1,1,False,#1 ecg baseline,#1 ecg baseline end
203,2024_12_14_203.txt,OK,228,541.9385643800732,71399,96599,25.2,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
204,2024_12_14_204.txt,OK,278,567.4097845754669,143599,172949,29.35,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
205,2024_12_14_205.txt,OK,190,466.4747017688194,132599,156949,24.35,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
206,2024_12_14_206.txt,OK,215,531.3250020690226,29499,53849,24.35,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
207,2024_12_14_207.txt,OK,193,494.2933150261735,46149,69549,23.4,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
208,2024_12_14_208.txt,OK,247,512.1621152711753,36099,64949,28.85,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
209,2024_12_14_209.txt,OK,164,487.7075749264449,74449,94549,20.1,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
210,2024_12_14_210.txt,OK,190,605.3165367780506,33399,52499,19.1,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
211,2024_12_14_211.txt,OK,613,492.37700631562006,32699,107399,74.7,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
212,2024_12_14_212.txt,OK,200,517.6899063475546,39199,62599,23.4,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
213,2024_12_14_213.txt,OK,241,604.9403461603092,31049,54949,23.9,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
214,2024_12_14_214.txt,OK,189,506.85239272073693,30249,52599,22.35,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
215,2024_12_14_215.txt,OK,325,535.4044451788812,73299,109699,36.4,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
216,2024_12_14_216.txt,OK,164,515.5508697944123,83899,102899,19.0,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
